date,title,amount
2024-11-30,Dafiti *4594723061,104.98
2024-11-30,Mercadao da Economia,122.85
2024-11-29,Confianca Supermercad,45.96
2024-11-28,Saborosa Salgados,220.00
2024-11-28,Saborosa Salgados,76.00
2024-11-28,Htm *Manualdojj,244.00
2024-11-28,Google Youtubepremium,41.90
2024-11-27,Complem,253.92
2024-11-27,Cintia Silva de Melo,149.99
2024-11-27,Drogasil,14.85
2024-11-27,Celeiro Supermercado,125.59
2024-11-26,Confianca Supermercad,72.15
2024-11-25,Ticketplus,23.00
2024-11-25,Ticketplus,35.00
2024-11-24,Confianca Supermercad,91.21
2024-11-24,Confianca Supermercad,15.18
2024-11-24,Confianca Supermercad,22.91
2024-11-23,Emporio Dumont,37.48
2024-11-22,Amazon,94.98
2024-11-21,Valori *Auto Posto Pel,281.74
2024-11-20,Confianca Supermercad,74.87
2024-11-20,Ebn *Ebanxcapcut,33.03
2024-11-20,Supermercado Reis,35.96
2024-11-20,Complem,17.18
2024-11-20,Posto Pelicano,144.83
2024-11-19,Nubank Vida,17.82
2024-11-17,Amazon - Parcela 9/11,52.35
2024-11-17,Amazon - Parcela 3/11,52.35
2024-11-17,A Florilandia,30.00
2024-11-17,Amazon - Parcela 5/11,52.35
2024-11-17,Desconto Antecipação Amazon,-23.44
2024-11-17,Amazon - Parcela 7/11,52.35
2024-11-17,Amazon - Parcela 11/11,52.35
2024-11-17,Amazon - Parcela 10/11,52.35
2024-11-17,Amazon - Parcela 6/11,52.35
2024-11-17,Amazon - Parcela 2/11,52.35
2024-11-17,Amazon - Parcela 1/11,52.40
2024-11-17,Amazon - Parcela 4/11,52.35
2024-11-17,Amazon - Parcela 8/11,52.35
2024-11-16,Ebn *Shein,208.98
2024-11-15,Lojas Americanas,18.98
2024-11-15,Lecafecafeteria,73.70
2024-11-15,Supermercado Alvorada,91.82
2024-11-15,Supermercado Reis,44.72
2024-11-15,Mercadao da Economia,60.96
2024-11-14,Mercado*14produtos,492.55
2024-11-14,Academia,130.00
2024-11-14,Mercadolivre*Santaefi,31.99
2024-11-14,Shopee *Itsbellla,81.24
2024-11-13,Confianca Supermercad,45.12
2024-11-13,Celeiro Supermercado,104.41
2024-11-13,Drogasil,39.90
2024-11-12,Celeiro Supermercado,67.55
2024-11-12,Supermercado Alvorada,21.68
2024-11-12,Mercadao da Economia,45.25
2024-11-12,Mega Mix,37.98
2024-11-12,Emporiodosqueijos,113.00
2024-11-12,Confianca Supermercad,29.70
2024-11-11,Vivo Easy,33.00
2024-11-11,Confianca Supermercad,171.08
2024-11-11,Vivo Easy,33.00
2024-11-10,Mp *Melimais,9.90
2024-11-10,Vivo Easy,33.00
2024-11-10,Google Gym Workout Pl,6.99
2024-11-09,56.704.178 Gabriel Fra,29.98
2024-11-09,Cosechas,19.00
2024-11-09,Lojas Americanas,24.98
2024-11-09,Valori *Auto Posto Pel,70.04
2024-11-09,Amazon Marketplace,124.90
2024-11-09,Celeiro Supermer,177.18
2024-11-08,Confianca Supermercad,37.90
2024-11-08,Amazon,18.42
2024-11-08,Transação de NuTag,7.90
2024-11-08,Amazon,50.28
2024-11-08,Transação de NuTag,7.90
2024-11-07,50.396.276 Thalyta Cr,56.79
2024-11-07,Supermercado Alvorada,173.43
2024-11-07,Netflix.Com,44.90
2024-11-07,Celeiro Supermer,58.53
2024-11-07,Hna*Oboticario,275.45
2024-11-07,Supermercado Reis,48.32
2024-11-07,Sabordomilho,48.00
2024-11-06,Mercadolivre*2produto,53.28
2024-11-06,Femme Fitness,119.90
2024-11-06,Colegio Equilibrio de,500.00
2024-11-06,Mercadolivre*2produtos,70.37
2024-11-05,Google Ellation,19.99
2024-11-04,Mercadao da Economia,94.28
2024-11-04,Dm*Spotify,11.90
2024-11-04,Pagamento recebido,-11739.72
2024-11-03,Ifd*Ifood Club,5.95
2024-11-03,Supermercado Reis,64.44
2024-11-03,Celeiro Supermercado,157.99
2024-11-03,Acougue Caipirao,55.00
2024-11-03,Supermercado Reis,34.66
2024-11-02,iFood - NuPay,81.00
2024-11-02,Shopee *Artigosreligio,86.75
2024-11-01,Htm*Decorandoalei - Parcela 8/12,19.49
2024-11-01,Sebastiao Goncalves Ri - Parcela 5/5,487.88
2024-11-01,Amazon - Parcela 5/5,59.98
2024-11-01,Tng - Parcela 2/2,159.99
2024-11-01,Mercadolivre*Tatamess - Parcela 7/10,39.39
2024-11-01,Mercadolivre*Emmabras - Parcela 6/10,276.90
2024-11-01,Mercadolivre*Emmabras - Parcela 8/10,75.90
2024-11-01,Amazon - Parcela 5/9,53.60
2024-11-01,Lypedepyl Depilacao A - Parcela 3/12,95.00
2024-11-01,Vindi *Valenttmoda - Parcela 2/2,102.44
2024-11-01,Gol Linhas A*Ofrqcx014 - Parcela 3/5,578.83
2024-11-01,Colegio Equilibrio de - Parcela 2/2,990.00
2024-11-01,Kiwify *Novocpc - Parcela 10/12,14.75
2024-11-01,Mercadolivre*Splitter - Parcela 7/10,39.38
2024-11-01,Amazon - Parcela 4/4,57.47
2024-11-01,S2p*Bibliotecaca - Parcela 7/12,74.90
2024-11-01,Mercadolivre*Kimonosl - Parcela 2/6,31.16
2024-11-01,Mercadolivre*Ejoliver - Parcela 9/10,28.51
