date,title,amount
2024-10-31,Amazon,17.09
2024-10-31,Amazon,17.10
2024-10-31,Confianca Supermercad,67.41
2024-10-31,Amazon,17.09
2024-10-31,Google One,11.99
2024-10-31,Amazon,17.09
2024-10-31,Amazon,17.09
2024-10-31,Amazon,17.09
2024-10-30,Supermercado Reis,51.85
2024-10-30,Celeiro Supermercado,51.06
2024-10-30,A Mundial,9.99
2024-10-30,Mega Mix,57.95
2024-10-30,Mercadao da Economia,83.37
2024-10-29,Mastervet Agropecuari,155.00
2024-10-29,A Mundial,26.98
2024-10-29,Drogasil,91.98
2024-10-29,Saborosa Salgados,115.00
2024-10-29,Celeiro Supermercado,31.80
2024-10-28,Google Youtubepremium,41.90
2024-10-26,Complem,70.58
2024-10-26,Shopee *Bazarlully,78.29
2024-10-26,Valori *Auto Posto Pel,134.43
2024-10-25,Supermercado Reis,255.00
2024-10-25,Amazon Music,11.90
2024-10-25,Emporiodosqueijos,39.00
2024-10-24,50.396.276 Thalyta Cr,36.14
2024-10-23,Confianca Supermercad,35.39
2024-10-23,Supermercado Reis,56.81
2024-10-22,Jeriva,20.75
2024-10-22,Hadco Comercio de Alim,16.90
2024-10-22,Tng - Parcela 1/2,159.99
2024-10-22,Rdservice,50.12
2024-10-22,Amazon Kindle Unltd,19.90
2024-10-22,Hadco Comercio de Alim,16.90
2024-10-22,Amazon,69.09
2024-10-21,Leticiadasilva,91.00
2024-10-21,Nubank Vida,17.82
2024-10-20,Supermercado Veronica,42.32
2024-10-20,Supermercado Dias,135.83
2024-10-20,Amazon,77.74
2024-10-19,Celeiro Supermercado,60.13
2024-10-19,Mercadao da Economia,28.54
2024-10-19,Supermercado Reis,37.98
2024-10-18,Mercadolivre*10produt,454.11
2024-10-18,Ivan Fernandes da Sil,14.00
2024-10-18,Mercadolivre*Kimonosl - Parcela 1/6,31.20
2024-10-18,Ebanx*Ebanxcapcut,33.03
2024-10-17,Celeiro Supermercado,46.66
2024-10-17,Valori *Auto Posto Pel,307.26
2024-10-17,Imperio dos Paes,9.50
2024-10-17,Amazon Marketplace,86.50
2024-10-16,Leticiadasilva,30.00
2024-10-15,Amazon,26.72
2024-10-15,Mastervet Agropecuari,177.00
2024-10-15,Amazon,18.90
2024-10-15,Google Impulse Brain,80.99
2024-10-15,Confianca Supermercad,82.27
2024-10-15,Amazon,36.00
2024-10-15,Mp *Sosportoessolar,300.00
2024-10-15,A Florilandia,32.00
2024-10-14,Amazon,29.60
2024-10-14,Amazon,78.90
2024-10-13,Supermercado Reis,95.95
2024-10-12,Transação de NuTag,11.00
2024-10-12,Divinofogao,35.90
2024-10-12,Celeiro Supermer,67.38
2024-10-12,Spoleto,33.90
2024-10-12,Posto Pelicano,95.04
2024-10-12,Cintia Silva de Melo,149.99
2024-10-11,Mercadolivre*Usefusio,59.90
2024-10-11,Mp *Melimais,9.90
2024-10-11,Amazon,18.57
2024-10-11,Transação de NuTag,7.90
2024-10-11,Transação de NuTag,7.90
2024-10-11,Amazon,31.05
2024-10-11,Vivo Easy,33.00
2024-10-11,Vivo Easy,33.00
2024-10-11,Confianca Supermercad,11.27
2024-10-10,Shopee *Wliqui25,29.42
2024-10-10,Vivo Easy,33.00
2024-10-09,Confianca Supermercad,29.95
2024-10-09,Supermercado Reis,46.44
2024-10-09,Mercadolivre*Penuttin,72.00
2024-10-09,Paleta Roxa Acaiteria,78.74
2024-10-09,Mercadao da Economia,96.89
2024-10-09,50.396.276 Thalyta Cr,56.79
2024-10-08,Amazon Marketplace,265.90
2024-10-08,Saborosa Salgados,22.00
2024-10-07,Netflix Entretenimento,44.90
2024-10-07,Confianca Supermercad,31.97
2024-10-06,Casa de Racoes Agroan,28.00
2024-10-06,Amazon,57.96
2024-10-06,Google Crunchyroll,19.99
2024-10-05,Supermercado Reis,57.97
2024-10-05,Google Impulse Brain,34.99
2024-10-05,Colegio Equilibrio de - Parcela 1/2,990.00
2024-10-05,Celeiro Supermercado,94.77
2024-10-04,Amazon,27.98
2024-10-04,53359100betina,32.00
2024-10-04,Supermercado Alvorada,105.60
2024-10-04,Mega Mix,14.00
2024-10-04,Credpag*Universo Celul,25.00
2024-10-04,Dm *Spotify,11.90
2024-10-04,Cacau Show Morrinhos,71.40
2024-10-03,Mercadolivre*Luaraces,34.11
2024-10-03,Vindi *Valenttmoda - Parcela 1/2,102.45
2024-10-03,Amazon,152.98
2024-10-02,Confianca Supermercad,76.03
2024-10-02,Pagamento recebido,-1303.63
