date,title,amount
2024-10-01,Mercadolivre*Emmabras - Parcela 5/10,276.90
2024-10-01,Lojas Renner Fl - Parcela 2/2,125.85
2024-10-01,Mapfre Seguros - Parcela 12/12,202.24
2024-10-01,Sebastiao Goncalves Ri - Parcela 4/5,487.88
2024-10-01,Mercadolivre*Emmabras - Parcela 7/10,75.90
2024-10-01,Kiwify *Novocpc - Parcela 9/12,14.75
2024-10-01,Brandili *Brandili - Parcela 2/2,85.15
2024-10-01,Pg *Ceisc - Parcela 12/12,47.42
2024-10-01,Amazon - Parcela 4/9,53.60
2024-10-01,Lojas Avenida Filial - Parcela 3/3,66.63
2024-10-01,Hna*O Boticario - Parcela 2/2,129.92
2024-10-01,Mercadolivre*Splitter - Parcela 6/10,39.38
2024-10-01,Colegio Equilibrio de - Parcela 3/3,990.00
2024-10-01,Amazon - Parcela 4/5,59.98
2024-10-01,S2p*Bibliotecaca - Parcela 6/12,74.90
2024-10-01,Mercadolivre*Ejoliver - Parcela 8/10,28.51
2024-10-01,Pagamento recebido,-8900.00
2024-10-01,Google One,11.99
2024-10-01,Gol Linhas A*Ofrqcx014 - Parcela 2/5,578.83
2024-10-01,Htm*Decorandoalei - Parcela 7/12,19.49
2024-10-01,Lypedepyl Depilacao A - Parcela 2/12,95.00
2024-10-01,Amazon - Parcela 3/4,57.47
2024-10-01,Autoeletricalider - Parcela 2/2,275.00
2024-10-01,Mastervet Agropecuari - Parcela 6/6,61.33
2024-10-01,Mercadolivre*Tatamess - Parcela 6/10,39.39
2024-10-01,Shein*Shein.Com - Parcela 3/3,59.41
